Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,171.730499,188.654007,165.348999,166.379501,166.379501,1674586000
2021-08-01,167.654999,173.628998,158.787994,173.539505,173.539505,1256964000
2021-09-01,174.820007,177.499496,163.699493,164.251999,164.251999,1250554000
2021-10-01,164.450500,173.949997,158.812500,168.621506,168.621506,1273466000
2021-11-01,168.089996,188.107498,164.177505,175.353500,175.353500,1515990000
2021-12-01,177.250000,177.994003,165.195007,166.716995,166.716995,1287634000
2022-01-01,167.550003,171.399994,135.352005,149.573502,149.573502,1524654000
2022-02-01,150.000000,163.834503,138.332993,153.563004,153.563004,1689604000
2022-03-01,152.732498,170.831497,133.572495,162.997498,162.997498,1628486000
2022-04-01,164.149506,168.394501,121.625000,124.281502,124.281502,1465008000
2022-05-01,122.401001,126.220497,101.260002,120.209503,120.209503,2258476000
2022-06-01,122.255997,128.990005,120.044998,121.180000,121.180000,610945900
